generation,mean_fitness,max_fitness
1,1.0,1.0
100,0.999838,1.0
200,0.999784,1.0
300,0.999871,1.01914
400,0.999969,1.02971
500,1.00099,1.05038
600,1.01313,1.03248
700,1.02821,1.02971
800,1.02959,1.03452
900,1.03013,1.05645
1000,1.0345,1.05645
1100,1.0485,1.05645
1200,1.05553,1.10157
1300,1.0723,1.10767
1400,1.10029,1.10157
1500,1.10165,1.1154
1600,1.10161,1.1154
1700,1.10208,1.1154
1800,1.10593,1.1154
1900,1.11086,1.13693
2000,1.11397,1.12479
2100,1.11536,1.13477
2200,1.11628,1.13477
2300,1.11697,1.13477
2400,1.11916,1.13477
2500,1.12387,1.13477
2600,1.13011,1.13477
2700,1.1323,1.13477
2800,1.13333,1.13517
2900,1.13433,1.13815
3000,1.13449,1.15427
3100,1.13492,1.14968
3200,1.13496,1.13815
3300,1.13487,1.1426
3400,1.13511,1.1388
3500,1.1353,1.14156
3600,1.13546,1.15209
3700,1.13582,1.1388
3800,1.13584,1.14312
3900,1.13609,1.14611
4000,1.13669,1.14572
4100,1.13763,1.17022
4200,1.13983,1.17022
4300,1.15764,1.17269
4400,1.16899,1.17022
4500,1.16938,1.17051
4600,1.16949,1.17323
4700,1.16937,1.17022
4800,1.16929,1.19348
4900,1.16943,1.17022
5000,1.16939,1.18063
5100,1.16931,1.17022
5200,1.1692,1.17022
5300,1.16923,1.18011
5400,1.16977,1.18011
5500,1.17039,1.18011
5600,1.17175,1.18011
5700,1.17432,1.18515
5800,1.17649,1.18011
5900,1.17867,1.20124
6000,1.17954,1.20124
6100,1.18072,1.20124
6200,1.18175,1.20124
6300,1.18363,1.20124
6400,1.19154,1.20124
6500,1.19755,1.20124
6600,1.20037,1.20699
6700,1.2009,1.21893
6800,1.20154,1.21893
6900,1.20246,1.21893
7000,1.20452,1.22683
7100,1.20696,1.21893
7200,1.21288,1.21893
7300,1.21685,1.21893
7400,1.21831,1.21893
7500,1.21861,1.21893
7600,1.21864,1.22135
7700,1.2187,1.21983
7800,1.21877,1.22963
7900,1.21893,1.22963
8000,1.22,1.23352
8100,1.22103,1.22963
8200,1.22305,1.22963
8300,1.22567,1.23389
8400,1.22783,1.22963
8500,1.22875,1.22963
8600,1.22907,1.22963
8700,1.22902,1.22963
8800,1.22921,1.23533
8900,1.22928,1.23533
9000,1.22936,1.22963
9100,1.22935,1.23318
9200,1.22933,1.22963
9300,1.2293,1.22963
9400,1.22947,1.22963
9500,1.22925,1.22963
9600,1.22934,1.23215
9700,1.22932,1.2325
9800,1.22941,1.2325
9900,1.22984,1.26897
10000,1.23916,1.26897
10100,1.26468,1.27219
10200,1.26872,1.27515
10300,1.26862,1.26897
10400,1.26865,1.26897
10500,1.26874,1.27347
10600,1.26873,1.27184
10700,1.26878,1.26897
10800,1.26885,1.27633
10900,1.26876,1.26897
11000,1.26877,1.26897
11100,1.26883,1.27548
11200,1.2688,1.27043
11300,1.26883,1.27278
11400,1.26883,1.2766
11500,1.26868,1.27031
11600,1.26866,1.27868
11700,1.26878,1.27033
11800,1.26879,1.27118
11900,1.26879,1.27118
12000,1.26868,1.27118
12100,1.26876,1.26897
12200,1.26848,1.27313
12300,1.26861,1.26897
12400,1.26875,1.27056
12500,1.2687,1.26914
12600,1.26872,1.26914
12700,1.26841,1.27139
12800,1.26857,1.27452
12900,1.26854,1.26914
13000,1.26865,1.27225
13100,1.26873,1.27115
13200,1.26866,1.27117
13300,1.26869,1.26956
13400,1.26882,1.27862
13500,1.26869,1.26914
13600,1.26872,1.26914
13700,1.26872,1.27783
13800,1.26884,1.27385
13900,1.26871,1.27385
14000,1.26873,1.27934
14100,1.26888,1.27835
14200,1.26878,1.27175
14300,1.26876,1.30321
14400,1.2697,1.30321
14500,1.27739,1.30321
14600,1.29804,1.30321
14700,1.30244,1.30517
14800,1.30301,1.30882
14900,1.30285,1.30321
15000,1.30299,1.30582
15100,1.30305,1.3095
15200,1.30284,1.32068
15300,1.30283,1.30321
15400,1.3027,1.31745
15500,1.30306,1.30321
15600,1.30293,1.30686
15700,1.30305,1.31411
15800,1.3031,1.31411
15900,1.3031,1.31411
16000,1.30332,1.31411
16100,1.30382,1.31411
16200,1.30454,1.31411
16300,1.30503,1.31411
16400,1.30621,1.31411
16500,1.3084,1.31582
16600,1.3104,1.31411
16700,1.31137,1.31411
16800,1.31272,1.31416
16900,1.31316,1.31686
17000,1.31376,1.31411
17100,1.31377,1.31411
17200,1.31355,1.31411
17300,1.31339,1.31411
17400,1.31349,1.31754
17500,1.3135,1.31705
17600,1.31391,1.31998
17700,1.3139,1.32298
17800,1.31375,1.31411
17900,1.31403,1.31741
18000,1.3138,1.31411
18100,1.31379,1.3192
18200,1.31394,1.32082
18300,1.31387,1.31411
18400,1.31393,1.31411
18500,1.3138,1.31411
18600,1.31396,1.32047
18700,1.31379,1.32047
18800,1.31412,1.32047
18900,1.31466,1.32086
19000,1.31484,1.32047
19100,1.31538,1.32492
19200,1.31566,1.32362
19300,1.31612,1.32362
19400,1.31715,1.32362
19500,1.31757,1.32362
19600,1.31813,1.32362
19700,1.31908,1.32362
19800,1.31941,1.32362
19900,1.31971,1.32362
20000,1.31968,1.32362
20100,1.3199,1.32362
20200,1.32028,1.32362
20300,1.32013,1.32362
20400,1.3202,1.32362
20500,1.32038,1.32362
20600,1.32012,1.32696
20700,1.32057,1.32696
20800,1.3208,1.32696
20900,1.32117,1.32696
21000,1.32167,1.32696
21100,1.32221,1.32696
21200,1.32359,1.32696
21300,1.3239,1.33387
21400,1.32457,1.33387
21500,1.32554,1.33387
21600,1.32599,1.33387
21700,1.32631,1.33387
21800,1.32684,1.33387
21900,1.32795,1.33387
22000,1.32903,1.33549
22100,1.33092,1.33549
22200,1.33132,1.33695
22300,1.3314,1.33727
22400,1.3319,1.33549
22500,1.33261,1.33549
22600,1.33313,1.33859
22700,1.33325,1.33491
22800,1.33353,1.33664
22900,1.33366,1.3341
23000,1.33375,1.33924
23100,1.33369,1.33387
23200,1.33374,1.33387
23300,1.33344,1.33813
23400,1.33366,1.33387
23500,1.33373,1.34208
23600,1.3336,1.33387
23700,1.33356,1.33387
23800,1.3337,1.3403
23900,1.33379,1.33387
24000,1.33359,1.33387
24100,1.3337,1.34343
24200,1.33377,1.34343
24300,1.3338,1.34343
24400,1.33358,1.34732
24500,1.33381,1.34343
24600,1.33356,1.34343
24700,1.3339,1.34343
24800,1.33437,1.34343
24900,1.33454,1.34343
25000,1.33498,1.34343
25100,1.3361,1.34862
25200,1.33776,1.3481
25300,1.33924,1.35466
25400,1.3403,1.3502
25500,1.34167,1.34378
25600,1.34239,1.34343
25700,1.34286,1.349
25800,1.34326,1.349
25900,1.34296,1.34382
26000,1.34305,1.34382
26100,1.34337,1.34382
26200,1.34306,1.34958
26300,1.3433,1.35809
26400,1.34318,1.34382
26500,1.34326,1.35038
26600,1.34306,1.34382
26700,1.34311,1.34382
26800,1.34321,1.34723
26900,1.34323,1.34382
27000,1.34327,1.34585
27100,1.34327,1.34382
27200,1.34294,1.34343
27300,1.34325,1.34378
27400,1.3432,1.34343
27500,1.34312,1.34343
27600,1.34331,1.34343
27700,1.34322,1.34743
27800,1.34338,1.34808
27900,1.3432,1.35036
28000,1.34322,1.34808
28100,1.3434,1.34808
28200,1.34328,1.34808
28300,1.34353,1.34808
28400,1.3438,1.34808
28500,1.34415,1.34808
28600,1.3447,1.35158
28700,1.34553,1.34898
28800,1.34563,1.34808
28900,1.34597,1.34808
29000,1.34665,1.35393
29100,1.34728,1.35239
29200,1.3474,1.35292
29300,1.34767,1.34808
29400,1.34757,1.34808
29500,1.34758,1.34891
29600,1.3475,1.34808
29700,1.34765,1.35033
29800,1.34768,1.34912
29900,1.34766,1.35199
30000,1.34784,1.34808
30100,1.34776,1.34808
30200,1.3479,1.35263
30300,1.34775,1.34839
30400,1.34789,1.35094
30500,1.34805,1.35094
30600,1.34799,1.35094
30700,1.34802,1.35265
30800,1.34793,1.35094
30900,1.34804,1.35902
31000,1.3482,1.35902
31100,1.34869,1.35094
31200,1.34876,1.35094
31300,1.34872,1.35094
31400,1.34864,1.35094
31500,1.34858,1.35094
31600,1.34884,1.35175
31700,1.34892,1.35726
31800,1.34919,1.35175
31900,1.34932,1.35485
32000,1.34956,1.35713
32100,1.34938,1.35485
32200,1.34962,1.35485
32300,1.35012,1.35485
32400,1.3503,1.35792
32500,1.35063,1.35485
32600,1.35044,1.35485
32700,1.35103,1.35836
32800,1.35141,1.35485
32900,1.35179,1.35485
33000,1.35192,1.35485
33100,1.35208,1.35491
33200,1.35254,1.35485
33300,1.35302,1.36008
33400,1.35384,1.36008
33500,1.35369,1.3621
33600,1.35428,1.36008
33700,1.35456,1.36691
33800,1.35523,1.36691
33900,1.35671,1.36691
34000,1.35884,1.37317
34100,1.36016,1.36719
34200,1.36221,1.36691
34300,1.36413,1.36691
34400,1.36534,1.36691
34500,1.36599,1.36691
34600,1.3665,1.36691
34700,1.36642,1.36691
34800,1.36642,1.37305
34900,1.36662,1.37305
35000,1.36679,1.37305
35100,1.36705,1.37416
35200,1.3675,1.37305
35300,1.36784,1.37486
35400,1.36868,1.37766
35500,1.36943,1.37305
35600,1.36978,1.37552
35700,1.37073,1.37305
35800,1.37122,1.38374
35900,1.37193,1.37682
36000,1.37209,1.37405
36100,1.37252,1.37305
36200,1.37262,1.37305
36300,1.37275,1.37698
36400,1.37284,1.38577
36500,1.3728,1.37305
36600,1.37276,1.37677
36700,1.37283,1.37533
36800,1.37289,1.38107
36900,1.37289,1.38448
37000,1.37324,1.38107
37100,1.37368,1.38107
37200,1.37369,1.38107
37300,1.37439,1.38107
37400,1.37433,1.39493
37500,1.37543,1.3876
37600,1.37675,1.3876
37700,1.37731,1.3876
37800,1.37825,1.3876
37900,1.37923,1.3876
38000,1.38023,1.3876
38100,1.38062,1.3876
38200,1.38065,1.3876
38300,1.38084,1.3876
38400,1.38097,1.3876
38500,1.38081,1.3876
38600,1.38107,1.3876
38700,1.38088,1.39441
38800,1.38106,1.3876
38900,1.381,1.3876
39000,1.38113,1.3876
39100,1.38125,1.3876
39200,1.38133,1.3876
39300,1.38177,1.3876
39400,1.38181,1.3876
39500,1.38267,1.3876
39600,1.3836,1.3876
39700,1.38488,1.3876
39800,1.3854,1.3876
39900,1.38633,1.38763
40000,1.3865,1.39306
40100,1.38681,1.39306
40200,1.38686,1.3876
40300,1.38691,1.3876
40400,1.38725,1.3876
40500,1.38695,1.3876
40600,1.38712,1.3876
40700,1.38722,1.39533
40800,1.38725,1.3876
40900,1.38725,1.39872
41000,1.38723,1.39029
41100,1.38723,1.38767
41200,1.38724,1.3876
41300,1.38716,1.40385
41400,1.38731,1.38796
41500,1.38704,1.398
41600,1.38681,1.3886
41700,1.38731,1.3886
41800,1.38732,1.3876
41900,1.38721,1.38834
42000,1.38705,1.3886
42100,1.38727,1.38828
42200,1.38707,1.3876
42300,1.38708,1.3876
42400,1.3871,1.38872
42500,1.38716,1.3876
42600,1.38712,1.38762
42700,1.38725,1.38865
42800,1.38699,1.38845
42900,1.38707,1.3876
43000,1.38727,1.3876
43100,1.38729,1.39118
43200,1.3871,1.3876
43300,1.38726,1.3876
43400,1.38701,1.39048
43500,1.3872,1.3876
43600,1.38721,1.38828
43700,1.38696,1.39426
43800,1.38724,1.39426
43900,1.38731,1.39426
44000,1.38708,1.39426
44100,1.38714,1.38919
44200,1.38704,1.3946
44300,1.38702,1.39024
44400,1.38709,1.3876
44500,1.38722,1.3876
44600,1.38727,1.38827
44700,1.38713,1.3876
44800,1.38697,1.3876
44900,1.38715,1.3876
45000,1.3872,1.39469
45100,1.38722,1.39147
45200,1.3872,1.3876
45300,1.38708,1.3888
45400,1.38719,1.38997
45500,1.38701,1.40306
45600,1.38692,1.40306
45700,1.38742,1.40306
45800,1.38725,1.40306
45900,1.38738,1.39647
46000,1.38758,1.39647
46100,1.38755,1.39647
46200,1.38761,1.39647
