generation,mean_fitness,max_fitness,mean_intrinsic_fitness
1,1.0,1.0,1.0
100,1.00099,1.05966,1.00063
200,1.05192,1.05772,1.03415
300,1.0573,1.05751,1.03783
400,1.05718,1.09466,1.03774
500,1.05884,1.11306,1.03879
600,1.10001,1.11015,1.06539
700,1.1091,1.12157,1.07145
800,1.10932,1.12309,1.07161
900,1.10936,1.12309,1.07163
1000,1.10955,1.16758,1.07173
1100,1.11502,1.16703,1.07512
1200,1.15908,1.17898,1.10334
1300,1.16208,1.1882,1.10531
1400,1.16187,1.18823,1.10516
1500,1.16297,1.18906,1.10585
1600,1.16503,1.18882,1.10717
1700,1.17169,1.18805,1.11136
1800,1.18051,1.18703,1.11695
1900,1.18472,1.1872,1.11959
2000,1.18531,1.18648,1.11999
2100,1.18535,1.18648,1.12003
2200,1.18582,1.21728,1.1203
2300,1.18673,1.21716,1.12088
2400,1.19477,1.21612,1.12585
2500,1.2103,1.22396,1.13562
2600,1.21298,1.21373,1.13735
2700,1.21343,1.31401,1.1376
2800,1.23774,1.30973,1.1521
2900,1.2983,1.3227,1.19005
3000,1.29931,1.32251,1.19067
3100,1.30295,1.32182,1.1929
3200,1.31045,1.32043,1.19745
3300,1.31644,1.31931,1.20114
3400,1.31834,1.34746,1.20231
3500,1.31845,1.31894,1.20234
3600,1.31864,1.33776,1.20244
3700,1.31873,1.36971,1.20247
3800,1.31918,1.33764,1.2028
3900,1.32027,1.33743,1.20346
4000,1.32496,1.34849,1.20626
4100,1.33012,1.35152,1.20944
4200,1.33268,1.33504,1.21095
4300,1.33399,1.37099,1.21179
4400,1.33528,1.37072,1.21254
4500,1.34043,1.36964,1.21564
4600,1.35748,1.36607,1.22591
4700,1.36392,1.3874,1.22986
4800,1.36437,1.38731,1.23012
4900,1.36602,1.38695,1.2311
5000,1.36929,1.38623,1.23306
5100,1.37668,1.38462,1.23749
5200,1.38101,1.3837,1.24005
5300,1.38277,1.38331,1.24112
5400,1.38299,1.41471,1.2413
5500,1.38298,1.38325,1.24129
5600,1.38286,1.38329,1.24118
5700,1.38287,1.38328,1.2412
5800,1.38283,1.40217,1.24118
5900,1.38328,1.40205,1.24148
6000,1.3837,1.40197,1.2417
6100,1.38534,1.40161,1.24266
6200,1.3874,1.40114,1.24389
6300,1.39195,1.41889,1.24659
6400,1.3963,1.41785,1.24924
6500,1.39798,1.41746,1.25022
6600,1.39929,1.41716,1.251
6700,1.40171,1.41659,1.25246
6800,1.40634,1.43626,1.25519
6900,1.41069,1.43521,1.25776
